Case_ID,Client_ID,Case_Type,Start_Date,End_Date,Case_Status
CASE001,C001,Criminal,2025-04-09,2025-04-16,Closed
CASE002,C011,Civil,2025-02-15,2025-04-21,Closed
CASE003,C011,Criminal,2025-03-29,2025-04-19,Closed
CASE004,C015,Civil,2025-04-01,2025-04-17,Closed
CASE005,C010,Criminal,2025-03-29,2025-05-04,Closed
CASE006,C012,Intellectual Property,2025-03-20,2025-05-08,Closed
CASE007,C012,Intellectual Property,2025-02-24,2025-04-27,Closed
CASE008,C015,Corporate,2025-02-26,2025-04-21,Closed
CASE009,C014,Intellectual Property,2025-03-10,2025-05-08,Open
CASE010,C014,Corporate,2025-03-03,2025-05-04,Closed
CASE011,C015,Intellectual Property,2025-04-02,2025-04-27,Open
CASE012,C014,Civil,2025-02-14,2025-04-29,Closed
CASE013,C003,Intellectual Property,2025-02-17,2025-04-30,Closed
CASE014,C012,Corporate,2025-03-04,2025-04-15,Open
CASE015,C007,Corporate,2025-03-17,2025-04-20,Closed
CASE016,C004,Criminal,2025-02-28,2025-04-29,Open
CASE017,C009,Civil,2025-04-07,2025-04-19,Closed
CASE018,C003,Intellectual Property,2025-03-10,2025-04-21,Closed
CASE019,C005,Criminal,2025-03-12,2025-04-23,Open
CASE020,C003,Intellectual Property,2025-03-10,2025-04-18,Closed
CASE021,C007,Intellectual Property,2025-03-13,2025-05-04,Open
CASE022,C005,Criminal,2025-03-27,2025-04-26,Closed
CASE023,C009,Criminal,2025-02-19,2025-05-06,Open
CASE024,C007,Criminal,2025-03-02,2025-05-04,Open
CASE025,C002,Criminal,2025-04-11,2025-04-20,Closed
CASE026,C004,Criminal,2025-03-13,2025-04-30,Closed
CASE027,C009,Intellectual Property,2025-02-21,2025-04-15,Open
CASE028,C012,Criminal,2025-03-22,2025-04-20,Closed
CASE029,C014,Civil,2025-02-12,2025-05-06,Closed
CASE030,C002,Corporate,2025-03-11,2025-04-26,Closed
